;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
1192;208;204;MORTENSON, Minneapolis, Minn., U.S.A. ;156.9;3959.1;24.0;0;0;100;0;0;0;0;0;0;N;MORTENSON; Minneapolis,Minn.;U.S.A.;2018
1193;209;226;MAKYOL INSAAT SANAYI TURIZM VE TICARET AS, Istanbul, Turkey ;151.2;879.7;NA;0;0;0;0;0;0;90;0;0;N;MAKYOL INSAAT SANAYI TURIZM VE TICARET AS;Istanbul;Turkey;2018
1194;210;**;ANHUI SHUIAN CONSTRUCTION GROUP CO. LTD., Hefei, Anhui, China†;150.9;1242.8;330.8;21;0;0;41;0;0;38;0;0;Y;ANHUI SHUIAN CONSTRUCTION GROUP CO. LTD.; Hefei,Anhui;China;2018
1195;211;**;HUNAN CONSTRUCTION ENGINEERING GROUP CO., Changsha, Hunan, China†;148.5;12507.3;584.4;57;0;17;0;0;8;17;0;0;Y;HUNAN CONSTRUCTION ENGINEERING GROUP CO.; Changsha,Hunan;China;2018
1196;212;207;TUTOR PERINI CORP ., Sylmar, Calif., U.S.A.†;143.6;5852.8;134.8;41;0;0;0;0;0;59;0;0;Y;TUTOR PERINI CORP .; Sylmar,Calif.;U.S.A.;2018
1197;213;154;GULSAN CONSTRUCTION, Ankara, Turkey ;141.7;192.0;NA;0;0;0;0;0;0;100;0;0;N;GULSAN CONSTRUCTION;Ankara;Turkey;2018
1198;214;221;RAILWORKS CORP ., New York, N.Y., U.S.A.†;141.0;682.0;63.0;0;0;0;0;0;0;100;0;0;Y;RAILWORKS CORP .; New York,N.Y.;U.S.A.;2018
1199;215;210;ZHEJIANG COMMUNICATIONS CONSTR. GROUP , Hangzhou, Zhejiang, China†;138.1;2578.1;489.6;0;0;0;4;0;0;96;0;0;Y;ZHEJIANG COMMUNICATIONS CONSTR. GROUP; Hangzhou,Zhejiang;China;2018
1200;216;193;CHINA GANSU INT’L CORP . FOR ECON. & TECH. COOP’N, Lanzhou, China†;135.0;163.9;142.0;80;0;0;0;0;0;20;0;0;Y;CHINA GANSU INT’L CORP . FOR ECON. & TECH. COOP’N;Lanzhou;China;2018
1201;217;208;BARTON MALOW CO., Southfield, Mich., U.S.A. ;131.9;2591.4;NA;0;100;0;0;0;0;0;0;0;N;BARTON MALOW CO.; Southfield,Mich.;U.S.A.;2018
1202;218;222;ENERGOPROJEKT HOLDING PLC, Belgrade, Serbia†;130.8;268.6;11.1;51;0;14;0;0;0;35;0;0;Y;ENERGOPROJEKT HOLDING PLC;Belgrade;Serbia;2018
1203;219;181;CHINA DALIAN INT’L ECON. & TECH. COOP’N GROUP , Dalian, Liaoning, China†;130.3;160.8;83.9;9;0;0;61;0;5;25;0;0;Y;CHINA DALIAN INT’L ECON. & TECH. COOP’N GROUP; Dalian,Liaoning;China;2018
1204;220;**;AECON GROUP INC., Toronto, Ontario, Canada†;125.0;2231.0;NA;0;16;0;0;0;0;84;0;0;Y;AECON GROUP INC.; Toronto,Ontario;Canada;2018
1205;221;231;ENGINEERING FOR THE PETRO. & PROCESS INDUS. (ENPPI), Cairo, Egypt†;124.9;276.0;127.2;0;0;0;0;0;100;0;0;0;Y;ENGINEERING FOR THE PETRO. & PROCESS INDUS. (ENPPI);Cairo;Egypt;2018
1206;222;228;JIANGSU ZHONGNAN CONSTR. INDUS. GROUP CO., Haimen, Jiangsu, China†;121.1;7501.3;519.7;100;0;0;0;0;0;0;0;0;Y;JIANGSU ZHONGNAN CONSTR. INDUS. GROUP CO.; Haimen,Jiangsu;China;2018
1207;223;241;TODA CORP ., Tokyo, Japan†;116.0;3856.0;116.0;29;39;0;6;0;25;1;0;0;Y;TODA CORP .;Tokyo;Japan;2018
1208;224;**;MAEDA CORP ., Tokyo, Japan ;113.0;3483.0;58.0;0;33;0;0;0;0;67;0;0;N;MAEDA CORP .;Tokyo;Japan;2018
1209;225;223;CENGIZ CONSTRUCTION INDUSTRY & TRADE CO. INC., Istanbul, Turkey ;111.5;1441.2;NA;0;0;0;0;0;0;100;0;0;N;CENGIZ CONSTRUCTION INDUSTRY & TRADE CO. INC.;Istanbul;Turkey;2018
1210;226;194;SUMMA TURIZM YATIRIMCILIGI AS, Istanbul, Turkey†;111.2;123.7;1026.0;90;0;0;0;0;0;10;0;0;Y;SUMMA TURIZM YATIRIMCILIGI AS;Istanbul;Turkey;2018
1211;227;**;APTIM, The Woodlands, Texas, U.S.A. ;111.1;859.2;NA;0;0;13;0;0;85;0;2;0;N;APTIM; The Woodlands,Texas;U.S.A.;2018
1212;228;239;POLAT YOL YAPI SAN. VE TIC. AS, Istanbul, Turkey†;107.8;254.9;135.8;0;0;0;0;0;0;100;0;0;Y;POLAT YOL YAPI SAN. VE TIC. AS;Istanbul;Turkey;2018
1213;229;**;IRCON INTERNATIONAL LTD., New Delhi, Delhi, India ;104.2;609.7;NA;0;0;30;0;0;1;69;0;0;N;IRCON INTERNATIONAL LTD.; New Delhi,Delhi;India;2018
1214;230;237;WEEKS MARINE INC., Cranford, N.J., U.S.A.†;103.6;673.7;NA;0;0;0;52;0;0;33;15;0;Y;WEEKS MARINE INC.; Cranford,N.J.;U.S.A.;2018
1215;231;233;ZAFER TAAHHUT INSAAT VE TICARET AS, Ankara, Turkey ;101.1;164.0;NA;93;0;0;0;0;0;0;0;0;N;ZAFER TAAHHUT INSAAT VE TICARET AS;Ankara;Turkey;2018
1216;232;**;USTAY YAPI TAAHHUT VE TICARET AS, Istanbul, Turkey†;100.8;121.8;54.1;0;0;0;0;0;100;0;0;0;Y;USTAY YAPI TAAHHUT VE TICARET AS;Istanbul;Turkey;2018
1217;233;236;PERNIX GROUP INC., Lombard, Ill., U.S.A.†;98.6;291.9;132.7;8;0;7;0;0;0;0;0;0;Y;PERNIX GROUP INC.; Lombard,Ill.;U.S.A.;2018
1218;234;214;AMERICAN BRIDGE CO., Coraopolis, Pa., U.S.A.†;98.0;294.0;51.0;0;0;0;0;0;0;100;0;0;Y;AMERICAN BRIDGE CO.; Coraopolis,Pa.;U.S.A.;2018
1219;235;**;OZKAR INSAAT SANAYI VE TICARET AS, Ankara, Turkey ;97.2;117.6;138.3;0;0;0;0;0;0;100;0;0;N;OZKAR INSAAT SANAYI VE TICARET AS;Ankara;Turkey;2018
1220;236;247;ELECTRA LTD., Ramat Gan, Israel†;97.1;1774.7;177.9;100;0;0;0;0;0;0;0;0;Y;ELECTRA LTD.;Ramat Gan;Israel;2018
1221;237;**;KUR CONSTRUCTION INC., Ankara, Turkey ;96.9;126.8;133.6;100;0;0;0;0;0;0;0;0;N;KUR CONSTRUCTION INC.;Ankara;Turkey;2018
1222;238;242;HASKELL, Jacksonville, Fla., U.S.A.†;96.7;897.1;21.5;0;5;0;0;0;95;0;0;0;Y;HASKELL; Jacksonville,Fla.;U.S.A.;2018
1223;239;**;DORCE PREFAB. BLDG. AND CONSTR. INDUS. TRADE INC., Ankara, Turkey†;95.3;132.1;28.6;100;0;0;0;0;0;0;0;0;Y;DORCE PREFAB. BLDG. AND CONSTR. INDUS. TRADE INC.;Ankara;Turkey;2018
1224;240;**;VEPICA GRUPO INTERNACIONAL, Barcelona, Catalonia, Spain†;93.8;93.8;162.0;0;0;7;0;0;93;0;0;0;Y;VEPICA GRUPO INTERNACIONAL; Barcelona,Catalonia;Spain;2018
1225;241;215;MICHELS CORP ., Brownsville, Wis., U.S.A. ;93.1;1935.0;47.0;0;0;0;0;9;91;0;0;0;N;MICHELS CORP .; Brownsville,Wis.;U.S.A.;2018
1226;242;**;HUNAN ROAD & BRIDGE CONSTR. GROUP CO. LTD., Changsha, Hunan, China†;89.4;1979.8;161.4;0;0;0;0;0;0;100;0;0;Y;HUNAN ROAD & BRIDGE CONSTR. GROUP CO. LTD.; Changsha,Hunan;China;2018
1227;243;240;BEIJING UNI-CONSTRUCTION GROUP CO. LTD., Beijing, China ;81.2;2116.8;167.1;98;0;0;2;0;0;0;0;0;N;BEIJING UNI-CONSTRUCTION GROUP CO. LTD.;Beijing;China;2018
1228;244;**;CHINA BENGBU INT’L TECHN. & ECON. COOP’N LTD., Hefei City, Anhui, China ;79.3;79.3;NA;4;0;43;24;0;0;30;0;0;N;CHINA BENGBU INT’L TECHN. & ECON. COOP’N LTD.; Hefei City,Anhui;China;2018
1229;245;**;TATA PROJECTS LTD., Secunderabad, Telangana, India†;70.5;1398.4;124.9;0;0;58;0;0;42;0;0;0;Y;TATA PROJECTS LTD.; Secunderabad,Telangana;India;2018
1230;246;**;SHANXI CONSTRUCTION INVESTMENT GROUP CO., Taiyuan, Shanxi, China†;69.0;7217.6;161.7;69;0;12;10;0;3;6;0;1;Y;SHANXI CONSTRUCTION INVESTMENT GROUP CO.; Taiyuan,Shanxi;China;2018
1231;247;250;MBD INSAAT SANAYI VE TICARET ANONIM SIRKETI, Ankara, Turkey†;67.4;86.1;87.6;100;0;0;0;0;0;0;0;0;Y;MBD INSAAT SANAYI VE TICARET ANONIM SIRKETI;Ankara;Turkey;2018
1232;248;**;H.A. CONSTRUCTION, Cairo, Egypt ;67.3;427.3;NA;3;0;0;0;29;3;27;39;0;N;H.A. CONSTRUCTION;Cairo;Egypt;2018
1233;249;227;ECC, Burlingame, Calif., U.S.A.†;63.2;336.8;25.6;58;0;2;11;0;1;0;28;0;Y;ECC; Burlingame,Calif.;U.S.A.;2018
1234;250;232;THE CONTI GROUP , Edison, N.J., U.S.A. ;60.8;336.3;NA;96;0;1;0;0;0;2;0;0;N;THE CONTI GROUP; Edison,N.J.;U.S.A.;2018
1235;1;1;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA, Madrid, Spain†;32598.2;37333.9;32598.2;34;1;6;2;0;11;30;0;4;Y;ACS; ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,Madrid;Spain;2017
1236;2;2;HOCHTIEF AKTIENGESELLSCHAFT, Essen, NRW, Germany†;22927.0;24022.0;25791.0;46;1;0;1;0;5;25;0;5;Y;HOCHTIEF AKTIENGESELLSCHAFT; Essen,NRW;Germany;2017
1237;3;3;CHINA COMMUNICATIONS CONSTRUCTION GROUP LTD., Beijing, China†;21201.0;70780.0;36784.0;6;12;0;2;0;0;79;0;0;Y;CHINA COMMUNICATIONS CONSTRUCTION GROUP LTD.;Beijing;China;2017
1238;4;4;VINCI, Rueil Malmaison, France†;17367.3;42667.9;16269.6;6;0;15;2;0;6;46;1;10;Y;VINCI;Rueil Malmaison;France;2017
1239;5;5;BECHTEL, San Francisco, Calif., U.S.A.†;16406.0;24251.0;4437.0;0;0;0;1;0;40;59;0;0;Y;BECHTEL; San Francisco,Calif.;U.S.A.;2017
1240;6;9;BOUYGUES, Paris, France†;12257.0;26354.0;13107.0;27;0;8;1;0;1;56;2;0;Y;BOUYGUES;Paris;France;2017
1241;7;7;TECHNIP , Paris, France†;12113.0;12230.0;5484.0;0;0;0;0;0;100;0;0;0;Y;TECHNIP;Paris;France;2017
1242;8;10;SKANSKA AB, Stockholm, Sweden†;12110.0;15414.0;15680.0;49;2;5;0;3;4;34;0;1;Y;SKANSKA AB;Stockholm;Sweden;2017
1243;9;8;STRABAG, Vienna, Austria†;12008.7;14220.9;13202.0;36;0;0;4;3;6;50;0;0;Y;STRABAG;Vienna;Austria;2017
1244;10;11;POWER CONSTRUCTION CORP . OF CHINA, Beijing, China†;11595.9;43324.7;27751.8;9;0;57;7;2;3;19;0;0;Y;POWER CONSTRUCTION CORP . OF CHINA;Beijing;China;2017
1245;11;14;CHINA STATE CONSTRUCTION ENGINEERING CORP . LTD., Beijing, China ;10358.8;124656.7;17163.5;63;0;1;1;0;1;34;0;0;N;CHINA STATE CONSTRUCTION ENGINEERING CORP . LTD.;Beijing;China;2017
1246;12;12;SAIPEM SPA, San Donato Milanese, Italy ;8949.0;9121.0;324.0;0;0;0;0;0;99;1;0;0;N;SAIPEM SPA;San Donato Milanese;Italy;2017
1247;13;16;FERROVIAL, Madrid, Spain ;8943.0;11834.9;14939.1;15;0;6;2;13;0;54;0;0;N;FERROVIAL;Madrid;Spain;2017
1248;14;13;HYUNDAI ENGINEERING & CONSTRUCTION CO. LTD., Seoul, S. Korea†;8664.0;17694.5;7307.4;11;5;33;0;1;36;14;0;0;Y;HYUNDAI ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;S. Korea;2017
1249;15;19;PETROFAC LTD., Jersey, Channel Islands, U.K.†;7070.0;7070.0;1265.0;0;0;0;0;0;100;0;0;0;Y;PETROFAC LTD.; Jersey,Channel Islands;U.K.;2017
1250;16;15;FLUOR CORP ., Irving, Texas, U.S.A.†;6952.0;15185.9;9700.0;11;1;2;0;0;80;1;3;1;Y;FLUOR CORP .; Irving,Texas;U.S.A.;2017
1251;17;27;CIMIC GROUP LTD., North Sydney, NSW, Australia†;6730.6;18180.6;8073.6;31;0;0;4;0;1;44;0;0;Y;CIMIC GROUP LTD.; North Sydney,NSW;Australia;2017
1252;18;25;SALINI IMPREGILO SPA, Milan, Italy ;6249.3;6779.3;8693.4;4;0;0;20;3;0;61;0;0;N;SALINI IMPREGILO SPA;Milan;Italy;2017
1253;19;21;CONSOLIDATED CONTRACTORS GROUP , Athens, Attica, Greece†;6124.7;6124.7;3499.0;19;0;1;0;0;49;30;0;0;Y;CONSOLIDATED CONTRACTORS GROUP; Athens,Attica;Greece;2017
1254;20;17;SAMSUNG C&T, Seongnam-si, S. Korea ;5900.0;11062.0;4454.0;11;19;37;0;0;9;22;0;0;N;SAMSUNG C&T;Seongnam-si;S. Korea;2017
1255;21;20;CHINA RAILWAY GROUP LTD., Beijing, China†;5565.6;114226.0;15398.4;26;2;0;0;0;0;53;0;0;Y;CHINA RAILWAY GROUP LTD.;Beijing;China;2017
1256;22;26;TECNICAS REUNIDAS, Madrid, Spain†;5024.3;5128.1;1039.0;0;0;8;1;0;91;1;0;0;Y;TECNICAS REUNIDAS;Madrid;Spain;2017
1257;23;55;CHINA RAILWAY CONSTRUCTION CORP . LTD., Beijing, China†;4945.0;94748.0;14035.0;32;0;0;1;0;1;63;0;0;Y;CHINA RAILWAY CONSTRUCTION CORP . LTD.;Beijing;China;2017
1258;24;24;ROYAL BAM GROUP NV, Bunnik, Utrecht, The Netherlands†;4907.0;7696.0;NA;61;0;0;0;0;0;39;0;0;Y;ROYAL BAM GROUP NV; Bunnik,Utrecht;The Netherlands;2017
1259;25;18;JGC CORP ., Yokohama, Japan†;4395.0;5020.0;2326.0;0;0;0;0;0;100;0;0;0;Y;JGC CORP .;Yokohama;Japan;2017
1260;26;30;CHIYODA CORP ., Yokohama, Kanagawa, Japan†;4325.6;5192.4;1972.4;0;0;2;0;0;94;3;0;0;Y;CHIYODA CORP .; Yokohama,Kanagawa;Japan;2017
1261;27;**;CHINA ENERGY ENGINEERING CORP . LTD., Beijing, China†;4297.0;24973.1;17849.2;5;0;81;6;4;1;4;0;0;Y;CHINA ENERGY ENGINEERING CORP . LTD.;Beijing;China;2017
1262;28;22;GS ENGINEERING & CONSTRUCTION, Seoul, S. Korea†;4295.0;9468.6;1799.3;5;4;2;0;1;71;16;0;0;Y;GS ENGINEERING & CONSTRUCTION;Seoul;S. Korea;2017
1263;29;6;ODEBRECHT ENGENHARIA E CONSTRUCAO SA, Sao Paulo, SP , Brazil†;4167.8;5397.6;1172.0;4;0;29;13;1;13;41;0;0;Y;ODEBRECHT ENGENHARIA E CONSTRUCAO SA; Sao Paulo,SP;Brazil;2017
1264;30;33;OBAYASHI CORP ., Tokyo, Japan†;4009.0;16270.0;5595.0;0;0;8;27;7;0;58;0;0;Y;OBAYASHI CORP .;Tokyo;Japan;2017
1265;31;23;CHINA NATIONAL MACHINERY INDUSTRY CORP ., Beijing, China†;3992.2;5760.2;9434.6;11;1;48;11;1;8;17;0;0;Y;CHINA NATIONAL MACHINERY INDUSTRY CORP .;Beijing;China;2017
1266;32;34;ORASCOM CONSTRUCTION LTD., Dubai, U.A.E.†;3975.0;4033.0;3692.9;32;0;18;1;0;27;15;0;0;Y;ORASCOM CONSTRUCTION LTD.;Dubai;U.A.E.;2017
1267;33;37;LARSEN & TOUBRO LTD., Mumbai, Maharashtra, India†;3974.8;12707.6;5044.5;3;0;37;0;1;26;32;0;0;Y;LARSEN & TOUBRO LTD.; Mumbai,Maharashtra;India;2017
1268;34;29;SAMSUNG ENGINEERING CO. LTD., Seoul, S. Korea†;3565.8;5802.5;1349.0;0;17;3;0;2;77;0;0;0;Y;SAMSUNG ENGINEERING CO. LTD.;Seoul;S. Korea;2017
1269;35;39;SK E&C, Seoul, S. Korea†;3557.7;6453.9;254.1;0;0;8;6;0;70;16;0;0;Y;SK E&C;Seoul;S. Korea;2017
1270;36;31;PCL CONSTRUCTION ENTERPRISES INC., Denver, Colo., U.S.A.†;3533.6;6012.3;4181.6;63;0;4;0;2;26;4;0;0;Y;PCL CONSTRUCTION ENTERPRISES INC.; Denver,Colo.;U.S.A.;2017
1271;37;28;OHL SA (OBRASCON HUARTE LAIN SA), Madrid, Spain†;3375.7;4248.9;3333.3;16;0;0;2;0;6;76;0;0;Y;OHL SA (OBRASCON HUARTE LAIN SA);Madrid;Spain;2017
1272;38;44;RENAISSANCE CONSTRUCTION, Ankara, Turkey†;3257.3;3932.7;2149.5;39;2;12;2;0;23;17;0;0;Y;RENAISSANCE CONSTRUCTION;Ankara;Turkey;2017
1273;39;57;TOYO ENGINEERING CORP ., Chiba, Japan†;3216.9;3849.7;843.2;0;0;14;0;0;85;0;0;0;Y;TOYO ENGINEERING CORP .;Chiba;Japan;2017
1274;40;43;KAJIMA CORP ., Tokyo, Japan†;3202.2;14301.8;2462.5;74;17;1;0;0;3;5;0;0;Y;KAJIMA CORP .;Tokyo;Japan;2017
1275;41;83;FCC SA, Madrid, Spain†;3190.8;6595.9;2827.9;2;0;0;9;40;0;35;2;0;Y;FCC SA;Madrid;Spain;2017
1276;42;40;POLIMEKS INSAAT TAAHHUT VE SAN. TIC. AS, Istanbul, Turkey ;2921.5;2921.5;NA;51;0;0;0;0;0;38;0;0;N;POLIMEKS INSAAT TAAHHUT VE SAN. TIC. AS;Istanbul;Turkey;2017
1277;43;41;SNC-LAVALIN INC., Montreal, Quebec, Canada†;2865.2;4371.7;3068.9;6;0;14;0;0;76;3;0;0;Y;SNC-LAVALIN INC.; Montreal,Quebec;Canada;2017
1278;44;52;JAN DE NUL GROUP (SOFIDRA SA), Capellen, Luxemburg†;2797.0;2809.0;2820.0;7;0;0;0;3;11;33;0;0;Y;JAN DE NUL GROUP (SOFIDRA SA);Capellen;Luxemburg;2017
1279;45;35;NCC AB, Solna, Sweden ;2775.0;6184.0;2474.0;0;0;0;0;0;0;0;0;0;N;NCC AB;Solna;Sweden;2017
1280;46;51;DAEWOO ENGINEERING & CONSTRUCTION CO. LTD., Seoul, S. Korea ;2764.4;9072.9;932.0;8;0;29;3;2;35;23;0;0;N;DAEWOO ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;S. Korea;2017
1281;47;53;ASTALDI, Rome, Italy†;2656.9;3139.4;3672.7;10;0;17;0;0;0;70;0;0;Y;ASTALDI;Rome;Italy;2017
1282;48;49;CHINA METALLURGICAL GROUP CORP ., Beijing, China†;2519.0;29402.0;11701.2;37;0;3;0;1;47;2;0;1;Y;CHINA METALLURGICAL GROUP CORP .;Beijing;China;2017
1283;49;36;CB&I LLC, The Woodlands, Texas, U.S.A.†;2506.3;8462.5;2606.0;0;0;0;0;0;99;0;0;0;Y;CB&I LLC; The Woodlands,Texas;U.S.A.;2017
1284;50;67;CHINA NATIONAL CHEMICAL ENGINEERING GROUP CORP ., Beijing, China†;2472.3;7759.8;2535.4;1;0;46;3;0;46;0;0;0;Y;CHINA NATIONAL CHEMICAL ENGINEERING GROUP CORP .;Beijing;China;2017
1285;51;63;ACCIONA INFRAESTRUCTURAS, Madrid, Spain†;2287.6;3785.5;4261.6;11;3;19;21;2;0;44;0;0;Y;ACCIONA INFRAESTRUCTURAS;Madrid;Spain;2017
1286;52;47;ROYAL BOSKALIS WESTMINSTER NV, Papendrecht, The Netherlands†;2253.0;2861.0;2202.0;0;0;23;0;0;41;15;0;0;Y;ROYAL BOSKALIS WESTMINSTER NV;Papendrecht;The Netherlands;2017
1287;53;75;SINOPEC ENGINEERING (GROUP) CO. LTD., Beijing, China†;2180.5;5928.0;1561.3;0;0;0;0;0;100;0;0;0;Y;SINOPEC ENGINEERING (GROUP) CO. LTD.;Beijing;China;2017
1288;54;42;DAELIM INDUSTRIAL CO. LTD., Seoul, S. Korea†;2161.4;7094.9;1855.4;0;8;33;2;0;42;13;0;2;Y;DAELIM INDUSTRIAL CO. LTD.;Seoul;S. Korea;2017
1289;55;66;PORR AG, Vienna, Austria ;2104.0;4131.0;2360.0;33;0;0;0;0;0;67;0;0;N;PORR AG;Vienna;Austria;2017
1290;56;58;CITIC CONSTRUCTION CO. LTD., Beijing, China ;2005.2;2062.1;1574.0;71;10;1;5;0;2;7;0;0;N;CITIC CONSTRUCTION CO. LTD.;Beijing;China;2017
1291;57;56;DANIELI & C. OFFICINE MECCANICHE SPA, Friuli Venezia Giulia, Italy†;1989.0;2135.0;1800.0;0;0;0;0;0;100;0;0;0;Y;DANIELI & C. OFFICINE MECCANICHE SPA;Friuli Venezia Giulia;Italy;2017
1292;58;59;MOTA-ENGIL, Porto, Portugal†;1901.0;2554.0;2460.0;22;0;2;8;4;0;63;0;1;Y;MOTA-ENGIL;Porto;Portugal;2017
1293;59;87;MAIRE TECNIMONT GROUP , Milan, Italy†;1766.7;2177.2;1584.4;0;0;10;0;0;89;1;0;0;Y;MAIRE TECNIMONT GROUP;Milan;Italy;2017
1294;60;69;JOANNOU & PARASKEVAIDES GROUP OF COS., Guernsey, Channel Islands, U.K. ;1747.3;1747.3;2351.0;41;0;5;0;1;2;52;0;0;N;JOANNOU & PARASKEVAIDES GROUP OF COS.; Guernsey,Channel Islands;U.K.;2017
1295;61;72;BESIX, Brussels, Belgium†;1732.5;2611.3;1431.6;56;0;0;11;1;0;32;0;0;Y;BESIX;Brussels;Belgium;2017
1296;62;70;SACYR, Madrid, Spain†;1679.0;3264.0;1304.0;8;0;2;5;0;13;71;0;0;Y;SACYR;Madrid;Spain;2017
1297;63;76;SHAPOORJI PALLONJI AND CO. PVT. LTD., Mumbai, Maharashtra, India†;1654.5;3812.2;1500.0;88;0;0;0;0;0;12;0;0;Y;SHAPOORJI PALLONJI AND CO. PVT. LTD.; Mumbai,Maharashtra;India;2017
1298;64;77;QINGJIAN GROUP CO. LTD., Qingdao, Shandong, China†;1640.4;7636.2;406.7;96;0;0;0;0;0;3;0;0;Y;QINGJIAN GROUP CO. LTD.; Qingdao,Shandong;China;2017
1299;65;54;JACOBS, Dallas, Texas, U.S.A. ;1610.1;3377.7;1209.4;2;2;3;1;0;90;3;0;0;N;JACOBS; Dallas,Texas;U.S.A.;2017
1300;66;80;PENTA-OCEAN CONSTRUCTION CO. LTD., Tokyo, Japan†;1527.7;4002.1;858.3;37;1;0;0;5;2;55;0;0;Y;PENTA-OCEAN CONSTRUCTION CO. LTD.;Tokyo;Japan;2017
1301;67;88;HARBIN ELECTRIC INTERNATIONAL CO. LTD., Harbin, Heilongjiang, China ;1502.4;1502.4;2388.7;0;0;100;0;0;0;0;0;0;N;HARBIN ELECTRIC INTERNATIONAL CO. LTD.; Harbin,Heilongjiang;China;2017
1302;68;50;POSCO ENGINEERING & CONSTRUCTION, Incheon, S. Korea†;1483.6;5822.9;NA;14;7;22;0;2;42;12;0;0;Y;POSCO ENGINEERING & CONSTRUCTION;Incheon;S. Korea;2017
1303;69;71;WORLEYPARSONS, North Sydney, NSW, Australia ;1383.0;1507.0;296.0;0;0;0;0;0;99;0;1;0;N;WORLEYPARSONS; North Sydney,NSW;Australia;2017
1304;70;64;KIEWIT CORP ., Omaha, Neb., U.S.A.†;1362.2;7861.9;1021.2;0;0;9;0;0;43;36;0;0;Y;KIEWIT CORP .; Omaha,Neb.;U.S.A.;2017
1305;71;65;VAN OORD DREDGING & MARINE CONTRACTORS, Rotterdam, The Netherlands†;1362.0;1798.6;2766.5;0;0;5;0;0;10;85;0;0;Y;VAN OORD DREDGING & MARINE CONTRACTORS;Rotterdam;The Netherlands;2017
1306;72;79;ENKA INSAAT VE SANAYI AS, Istanbul, Turkey†;1337.4;1452.7;880.4;17;0;30;0;0;40;13;0;0;Y;ENKA INSAAT VE SANAYI AS;Istanbul;Turkey;2017
1307;73;84;CHINA PETROLEUM ENGINEERING & CONSTRUCTION CORP ., Beijing, China†;1262.7;2931.4;2250.8;0;0;0;0;0;100;0;0;0;Y;CHINA PETROLEUM ENGINEERING & CONSTRUCTION CORP .;Beijing;China;2017
1308;74;73;SHIMIZU CORP ., Tokyo, Japan†;1259.4;12567.5;672.7;30;34;0;0;0;19;15;0;0;Y;SHIMIZU CORP .;Tokyo;Japan;2017
1309;75;78;TAKENAKA CORP ., Osaka, Japan†;1255.0;9486.0;738.0;22;42;0;0;0;0;35;0;0;Y;TAKENAKA CORP .;Osaka;Japan;2017
1310;76;81;TAV CONSTRUCTION, Istanbul, Turkey ;1253.0;1481.7;1015.6;15;0;0;0;0;0;85;0;0;N;TAV CONSTRUCTION;Istanbul;Turkey;2017
1311;77;62;KBR, Houston, Texas, U.S.A.†;1200.0;2352.0;NA;0;0;0;0;0;100;0;0;0;Y;KBR; Houston,Texas;U.S.A.;2017
1312;78;93;YAPI MERKEZI INSAAT VE SANAYI AS, Istanbul, Turkey†;1170.1;1237.3;233.0;0;0;0;0;1;0;99;0;0;Y;YAPI MERKEZI INSAAT VE SANAYI AS;Istanbul;Turkey;2017
1313;79;**;ALARKO CONTRACTING GROUP , Istanbul, Turkey ;1071.9;2730.9;1037.0;0;0;0;0;3;0;97;0;0;N;ALARKO CONTRACTING GROUP;Istanbul;Turkey;2017
1314;80;85;HANWHA ENGINEERING & CONSTRUCTION CORP ., Seoul, S. Korea†;1017.0;2697.4;672.0;26;0;10;0;0;54;10;0;0;Y;HANWHA ENGINEERING & CONSTRUCTION CORP .;Seoul;S. Korea;2017
1315;81;82;AECOM, Los Angeles, Calif., U.S.A.†;982.7;8322.2;1509.4;39;2;1;0;0;45;12;0;0;Y;AECOM; Los Angeles,Calif.;U.S.A.;2017
1316;82;90;ARABIAN CONSTRUCTION COMPANY SAL, Beirut, Lebanon†;970.5;1121.5;1252.4;85;0;0;2;0;8;0;0;0;Y;ARABIAN CONSTRUCTION COMPANY SAL;Beirut;Lebanon;2017
1317;83;74;CHINA INTERNATIONAL WATER & ELECTRIC CORP . (CWE), Beijing, China†;935.3;935.3;1820.5;4;0;42;30;0;3;21;0;0;Y;CHINA INTERNATIONAL WATER & ELECTRIC CORP . (CWE);Beijing;China;2017
1318;84;**;TBEA CO. LTD., Changji, Xinjiang, China†;912.7;4565.5;4319.8;0;16;84;0;0;0;0;0;0;Y;TBEA CO. LTD.; Changji,Xinjiang;China;2017
1319;85;135;LIMAK INSAAT SANAYI VE TICARET AS, Ankara, Turkey ;908.0;1624.0;400.0;5;0;13;0;0;0;82;0;0;N;LIMAK INSAAT SANAYI VE TICARET AS;Ankara;Turkey;2017
1320;86;86;ANT YAPI SANAYI VE TICARET CJSC, Istanbul, Turkey†;889.4;990.2;439.0;100;0;0;0;0;0;0;0;0;Y;ANT YAPI SANAYI VE TICARET CJSC;Istanbul;Turkey;2017
1321;87;94;SOCIETA ITALIANA PER CONDOTTE SPA, Rome, Italy†;889.3;1455.7;643.1;14;0;0;2;0;0;79;0;0;Y;SOCIETA ITALIANA PER CONDOTTE SPA;Rome;Italy;2017
