;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
150;151;185;MAKYOL INSAAT SANAYI TURIZM VE TICARET AS, Istanbul, Turkey ;286.0;544.0;106.0;0;0;0;0;0;0;100;0;0;N;MAKYOL INSAAT SANAYI TURIZM VE TICARET AS;Istanbul;Turkey;2022
151;152;148;SINOSTEEL EQUIPMENT & ENGINEERING CO. LTD., Beijing, China ;283.3;2455.5;4949.7;0;0;0;0;0;100;0;0;0;N;SINOSTEEL EQUIPMENT & ENGINEERING CO. LTD.;Beijing;China;2022
152;153;**;MOHAMMED ABDULMOHSIN AL-KHARAFI & SONS, Kuwait City, Kuwait†;278.9;543.2;718.6;10;0;0;7;34;0;34;0;0;Y;MOHAMMED ABDULMOHSIN AL-KHARAFI & SONS;Kuwait City;Kuwait;2022
153;154;172;CHINA NATIONAL COMPLETE PLANT IMP . & EXP . GROUP , Beijing, China†;278.6;278.6;496.7;40;38;4;0;6;0;8;0;0;Y;CHINA NATIONAL COMPLETE PLANT IMP . & EXP . GROUP;Beijing;China;2022
154;155;142;COMSA CORPORACIÓ N, Barcelona, Spain†;278.0;897.0;NA;0;0;0;0;0;0;77;0;0;Y;COMSA CORPORACIÓ N;Barcelona;Spain;2022
155;156;170;ICM SPA, Vicenza, Italy†;266.2;514.4;401.6;42;0;0;0;0;0;58;0;0;Y;ICM SPA;Vicenza;Italy;2022
156;157;130;THE PETRO. PROJS. AND TECH. CONSULT. CO.-PETROJET, New Cairo, Egypt ;262.6;2222.0;3849.5;0;1;0;0;0;99;0;0;0;N;THE PETRO. PROJS. AND TECH. CONSULT. CO.-PETROJET;New Cairo;Egypt;2022
157;158;88;CBRE, Dallas, Texas, U.S.A.†;256.6;674.4;NA;100;0;0;0;0;0;0;0;0;Y;CBRE; Dallas,Texas;U.S.A.;2022
158;159;158;ILK CONSTRUCTION, Istanbul, Turkey ;254.8;254.8;NA;4;0;6;0;0;36;54;0;0;N;ILK CONSTRUCTION;Istanbul;Turkey;2022
159;160;154;GILBANE BUILDING CO., Providence, R.I., U.S.A.†;254.5;6074.8;6941.4;27;0;0;0;0;64;8;1;0;Y;GILBANE BUILDING CO.; Providence,R.I.;U.S.A.;2022
